title;description;artist;culture;country;teaserText;url;image;regularImage;largeImage;date;Century;medium;simplified mediums;accessionNumber;galleryInformation
Corona delle Nobili et Virtuose Donne: Libro I-IV, page 27 (recto);Cesare Vecellio (Italian, Pieve di Cadore 1521–1601 Venice)  , Venice;Cesare Vecellio;;;Cesare Vecellio (Italian, Pieve di Cadore 1521–1601 Venice)  , VeniceDate: 1601 Accession Number: 18.67.2(28);/art/collection/search/661820?&ao=on&ft=Rooster&offset=400&rpp=100&pos=486;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP353672.jpg;dp/web-additional/DP353672.jpg;dp/web-large/DP353672.jpg;1601;17th century;Woodcut;Wood;18.67.2(28);Not on view
Watch;Watchmaker: Daniel Vauchez (French, born 1716, active 1767–90);Daniel Vauchez;French, Paris;France;Watchmaker: Daniel Vauchez (French, born 1716, active 1767–90) Date: ca. 1783–90 Accession Number: 17.190.1587;/art/collection/search/194176?&ao=on&ft=Rooster&offset=400&rpp=100&pos=487;https://images.metmuseum.org/CRDImages/es/mobile-large/DP350911.jpg;es/web-additional/DP350911.jpg;es/web-large/DP350911.jpg;ca. 1783–90;18th century;"Case: partly enameled gold set with pearls, gold bezel with diamonds set in silver; Dial: white enamel with openwork brass hands; Movement: brass and steel";Gold;171.901.587;Not on view
"Wilde on Us. Something To ""Live Up"" To in America (published in ""Harper""s Bazar,"" June 10, 1882)";Thomas Nast (American (born Germany), Landau 1840–1902 Guayaquil);Thomas Nast;;;Thomas Nast (American (born Germany), Landau 1840–1902 Guayaquil) Date: 1882 Accession Number: 33.35.92;/art/collection/search/822570?&ao=on&ft=Rooster&offset=400&rpp=100&pos=488;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP884629.jpg;dp/web-additional/DP884629.jpg;dp/web-large/DP884629.jpg;1882;19th century;Relief print and electrotype;Paper;33.35.92;Not on view
Baltimore Album Quilt Top;Various artists;Various artists;American;USA;Various artistsDate: 1845–48 Accession Number: 2016.172;/art/collection/search/707454?&ao=on&ft=Rooster&offset=400&rpp=100&pos=489;https://images.metmuseum.org/CRDImages/ad/mobile-large/DP-22366-001.jpg;ad/web-additional/DP-22366-001.jpg;ad/web-large/DP-22366-001.jpg;1845–48;19th century;Cotton;Cotton;2.016.172;Not on view
New Year (Nieuwjaar);Theodorus van Hoytema (Dutch, The Hague 1863–1917 The Hague);Theodorus van Hoytema;;;Theodorus van Hoytema (Dutch, The Hague 1863–1917 The Hague) Date: 1894 Accession Number: 2022.15.2;/art/collection/search/881767?&ao=on&ft=Rooster&offset=400&rpp=100&pos=490;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP-23978-002.jpg;dp/web-additional/DP-23978-002.jpg;dp/web-large/DP-23978-002.jpg;1894;19th century;Lithograph, second state of two;Lithograph;2022.15.2;Not on view
Christmas Eve  (Kerstnacht);Theodorus van Hoytema (Dutch, The Hague 1863–1917 The Hague);Theodorus van Hoytema;;;Theodorus van Hoytema (Dutch, The Hague 1863–1917 The Hague) Date: 1894 Accession Number: 2022.15.1;/art/collection/search/856909?&ao=on&ft=Rooster&offset=400&rpp=100&pos=491;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP-23978-001.jpg;dp/web-additional/DP-23978-001.jpg;dp/web-large/DP-23978-001.jpg;1894;19th century;Lithograph, second state of two;Lithograph;2022.15.1;Not on view
Embroidered sampler;;;Dutch, Marken Island;Netherlands;Date: 17th century Accession Number: 57.122.207;/art/collection/search/228134?&ao=on&ft=Rooster&offset=400&rpp=100&pos=492;https://images.metmuseum.org/CRDImages/es/mobile-large/SF57_122_207.jpg;es/web-additional/SF57_122_207.jpg;es/web-large/SF57_122_207.jpg;17th century;17th century ;Silk and wool on linen;Silk;57.122.207;Not on view
Kimono with Cockscomb Flowers;Accession Number: 2005.467;;Japan;Japan;Accession Number: 2005.467;/art/collection/search/73142?&ao=on&ft=Rooster&offset=400&rpp=100&pos=493;https://images.metmuseum.org/CRDImages/as/mobile-large/DP277428.jpg;as/web-additional/DP277428.jpg;as/web-large/DP277428.jpg;;;Paste-resist dyed (y?zen) and painted satin damask;Steel;2.005.467;Not on view
Jain Goddess Padmavati;;;India (Gujarat);India;Date: ca. 10th century Accession Number: 2011.501;/art/collection/search/76744?&ao=on&ft=Rooster&offset=400&rpp=100&pos=494;https://images.metmuseum.org/CRDImages/as/mobile-large/DP-23914-001.jpg;as/web-additional/DP-23914-001.jpg;as/web-large/DP-23914-001.jpg;ca. 10th century;10th century;Copper alloy;Copper;2.011.501;Not on view
"Samurai and Courtesan Seated; A Servant Beside Them";Sugimura Jihei Masataka (Japanese, active ca. 1680–98);Sugimura Jihei Masataka;Japan;Japan;Sugimura Jihei Masataka (Japanese, active ca. 1680–98) Date: ca. 1685 Accession Number: JP3070;/art/collection/search/56551?&ao=on&ft=Rooster&offset=400&rpp=100&pos=495;https://images.metmuseum.org/CRDImages/as/mobile-large/DP124564.jpg;as/web-additional/DP124564.jpg;as/web-large/DP124564.jpg;ca. 1685;17th century;"Monochrome woodblock print; ink on paper";Paper;JP3070;Not on view
Doorknocker with a Triton and a Nereid;;;Italian, Venice;Italy;Date: late 16th century Accession Number: 17.190.2096;/art/collection/search/194445?&ao=on&ft=Rooster&offset=400&rpp=100&pos=496;https://images.metmuseum.org/CRDImages/es/mobile-large/DP-788-001.jpg;es/web-additional/DP-788-001.jpg;es/web-large/DP-788-001.jpg;late 16th century;16th century ;Bronze, iron (hammer and suspension loop);Bronze;171.902.096;Not on view
Side chair (chais à la reine) (one of a pair);Georges Jacob (French, Cheny 1739–1814 Paris);Georges Jacob;French, Paris;France;Georges Jacob (French, Cheny 1739–1814 Paris) Date: 1784 Accession Number: 1977.102.14;/art/collection/search/231981?&ao=on&ft=Rooster&offset=400&rpp=100&pos=497;https://images.metmuseum.org/CRDImages/es/mobile-large/DP105674.jpg;es/web-additional/DP105674.jpg;es/web-large/DP105674.jpg;1784;18th century;"Carved and gilded walnut; pink silk moiré damask (not original)";Wood;1977.102.14;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzkyOTEsNDAuNzc5NDEzNjRAbG1AOTc5NzQ0ODA3ODg0' target='_blank'>Gallery 546</a>
Terracotta fragments of a neck-amphora (jar);;;Greek, Attic;Greece;Date: sixth century BCE Accession Number: 2011.604.3.754a–d;/art/collection/search/750071?&ao=on&ft=Rooster&offset=400&rpp=100&pos=498;https://images.metmuseum.org/CRDImages/gr/mobile-large/DVB12232_1_ff.jpg;gr/web-additional/DVB12232_1_ff.jpg;gr/web-large/DVB12232_1_ff.jpg;sixth century BCE;6th century BCE;Terracotta;Terracotta;2011.604.3.754a–d;Not on view
"Lew Christensen, John Taras, Todd Bolender and Fred Danieli in ""Renard""";George Platt Lynes (American, East Orange, New Jersey 1907–1955 New York);George Platt Lynes;;;George Platt Lynes (American, East Orange, New Jersey 1907–1955 New York) Date: 1947, printed ca. 1953 Accession Number: 1986.1110.18;/art/collection/search/264847?&ao=on&ft=Rooster&offset=400&rpp=100&pos=499;https://images.metmuseum.org/CRDImages/ph/mobile-large/DP119359.jpg;ph/web-additional/DP119359.jpg;ph/web-large/DP119359.jpg;1947, printed ca. 1953;20th century;Gelatin silver print;Paper;1986.1110.18;Not on view
Set of six liqueur cups;Jean-Nicolas Boulanger (master 1783, active 1806);Jean-Nicolas Boulanger;French, Paris;France;Jean-Nicolas Boulanger (master 1783, active 1806) Date: 1789–90 Accession Number: 48.187.287–.292;/art/collection/search/200284?&ao=on&ft=Rooster&offset=400&rpp=100&pos=500;https://images.metmuseum.org/CRDImages/es/mobile-large/162637.jpg;es/web-additional/162637.jpg;es/web-large/162637.jpg;1789–90;18th century;Silver;Silver;48.187.287–.292;Not on view
[The Opera Ball];Pierre-Louis Pierson (French, 1822–1913);Pierre-Louis Pierson;;;Pierre-Louis Pierson (French, 1822–1913) Date: 1861–67, printed 1895–1910 Accession Number: 2005.100.197;/art/collection/search/285652?&ao=on&ft=Rooster&offset=500&rpp=100&pos=501;https://images.metmuseum.org/CRDImages/ph/mobile-large/DP158932.jpg;ph/web-additional/DP158932.jpg;ph/web-large/DP158932.jpg;1861–67, printed 1895–1910;19th century;Gelatin silver print from glass negative;Paper;2.005.100.197;Not on view
Épinette des Vosges;"Amant Constant (Amé) Lambert (French, La Girmont 1843–1908 Val-d""Ajol)";Amant Constant (Amé) Lambert;French;France;"Amant Constant (Amé) Lambert (French, La Girmont 1843–1908 Val-d""Ajol) Date: late 19th century Accession Number: 89.4.991";/art/collection/search/501601?&ao=on&ft=Rooster&offset=500&rpp=100&pos=502;https://images.metmuseum.org/CRDImages/mi/mobile-large/DT1537a.jpg;mi/web-additional/DT1537a.jpg;mi/web-large/DT1537a.jpg;late 19th century;19th century ;Wood, metal;Wood;89.4.991;Not on view
?tsu-e of Sh?men Kong?yasha (Vajrayaksha);;;Japan;Japan;Date: 17th century Accession Number: 1975.268.142;/art/collection/search/36111?&ao=on&ft=Rooster&offset=500&rpp=100&pos=503;https://images.metmuseum.org/CRDImages/as/mobile-large/DP298232.jpg;as/web-additional/DP298232.jpg;as/web-large/DP298232.jpg;17th century;17th century ;"Hanging scroll; ink, color, and hand-colored woodblock print on paper";Paper;1.975.268.142;Not on view
Inkwell (one of a pair) surmounted by finial figure representing History;;;Possibly Northern Italian;Italy;Date: 17th century or later Accession Number: 64.101.1458;/art/collection/search/203945?&ao=on&ft=Rooster&offset=500&rpp=100&pos=504;https://images.metmuseum.org/CRDImages/es/mobile-large/DP-221-001.jpg;es/web-additional/DP-221-001.jpg;es/web-large/DP-221-001.jpg;17th century or later;17th century ;Bronze;Bronze;641.011.458;Not on view
